rank,department_name,domain,common_aliases,qs_subject_rank_category,typical_degree_levels,global_demand_notes,estimated_coverage_pct
1,Computer Science,STEM,Computing; Informatics; CS; Computer Science & Engineering; EECS; School of Computing; School of Computer Science; Department of Computer Science; Computer Science and Artificial Intelligence; Computer and Information Science; Computer Science Department,Computer Science and Information Systems,BS; MS; PhD,"Largest tech-hiring field; AI, software, and data infrastructure boom drive sustained worldwide demand and top STEM salaries.",99
2,Business Administration,Business,Management; Business & Management Studies; BBA/MBA; School of Business; Business School; School of Management; Graduate School of Business; Graduate School of Management; College of Business; Faculty of Business; Business Administration Department,Business and Management Studies,BBA; MBA; MS; PhD,"MBA is the most-demanded graduate credential globally; broad employer pull across consulting, tech, finance, and operations.",95
3,Economics,Social Sciences,Economics & Econometrics; Political Economy; Department of Economics; School of Economics; Faculty of Economics; Economics Department,Economics and Econometrics,BA/BS; MS; PhD,"Top feeder for finance, consulting, policy, and tech; persistently among highest-earning social science graduates.",97
4,Mechanical Engineering,STEM,Mechanical & Process Engineering; Mech E; Department of Mechanical Engineering; School of Mechanical Engineering; Mechanical and Aerospace Engineering; Mechanical Science and Engineering; Mechanical & Materials Engineering,"Engineering - Mechanical, Aeronautical and Manufacturing",BS; MS; PhD,"Backbone of manufacturing, automotive, energy, robotics, and aerospace hiring globally.",92
5,Electrical Engineering,STEM,Electrical & Electronic Engineering; EEE; EECS; Information Technology and Electrical Engineering; Department of Electrical Engineering; School of Electrical Engineering; Electrical and Computer Engineering; ECE; Electrical Engineering and Computer Science,Engineering - Electrical and Electronic,BS; MS; PhD,"Semiconductor / chip super-cycle, power systems, and AI hardware fueling record demand.",94
6,Medicine,Life Sciences & Medicine,Clinical Medicine; MBBS; MD; Medical School; School of Medicine; Faculty of Medicine; Faculty of Medicine and Health Sciences; College of Medicine; Medicine Faculty,Medicine,MD; MBBS; MS; PhD,Aging populations and global health-worker shortage make physicians the highest-paid and most-demanded clinical role.,78
7,Mathematics,STEM,Pure Mathematics; Applied Mathematics; Maths; Department of Mathematics; School of Mathematics; Mathematical Sciences; Faculty of Mathematics; Mathematics Department,Mathematics,BS; MS; PhD,"Foundational for AI, quant finance, cryptography, and data science; quant-finance roles among highest-paying entry roles.",98
8,Physics,STEM,Physics & Astronomy; Astrophysics; Department of Physics; School of Physics; Physics Department; Physical Sciences; Faculty of Physics,Physics and Astronomy,BS; MS; PhD,"Pipeline into semiconductors, quantum tech, photonics, and finance quant roles; strong research prestige worldwide.",97
9,Chemistry,STEM,Chemistry & Applied Biosciences; Department of Chemistry; School of Chemistry; Faculty of Chemistry; Chemistry Department,Chemistry,BS; MS; PhD,"Anchors pharma, materials, energy, and battery R&D hiring; consistently top-3 in global STEM research output.",96
10,Biology,Life Sciences & Medicine,Biological Sciences; Life Sciences; Molecular & Cellular Biology; Integrative Biology; Department of Biology; School of Biological Sciences; Faculty of Biology; Life Sciences Division; Biology Department; Department of Biological Sciences,Biological Sciences,BS; MS; PhD,"Biotech and pharma hiring (CRISPR, mRNA, drug discovery) plus pre-med pipeline make it one of the largest undergrad majors.",98
11,Civil Engineering,STEM,"Civil & Environmental Engineering; Civil & Structural Engineering; Civil, Environmental and Geomatic Engineering; Department of Civil Engineering; School of Civil Engineering; Civil and Architectural Engineering; Civil, Environmental and Architectural Engineering",Engineering - Civil and Structural,BS; MS; PhD,"Global infrastructure, climate-resilient construction, and transit megaprojects sustain steady demand for licensed civil engineers.",90
12,Chemical Engineering,STEM,Chemical Engineering & Biotechnology; ChemE; Chemical & Process Engineering; Department of Chemical Engineering; School of Chemical Engineering; Chemical and Biological Engineering; Chemical & Biomolecular Engineering,Engineering - Chemical,BS; MS; PhD,"Energy transition, batteries, semiconductors, and pharma manufacturing drive premium starting salaries.",87
13,Psychology,Social Sciences,Psychological Sciences; Behavioural Science; Department of Psychology; School of Psychology; Psychology Department; Psychology and Neuroscience,Psychology,BA/BS; MS; PhD,"Mental-health hiring surge; one of the largest undergrad majors worldwide and key feeder into HR, UX, and clinical roles.",92
14,Law,Social Sciences,LLB; JD; Legal Studies; Faculty of Law; School of Law; Law School; College of Law; Law Faculty,Law and Legal Studies,LLB; JD; LLM; PhD,"Legal services among most stable high-skill professions; corporate, IP, and tech law in particularly high global demand.",83
15,Statistics & Data Science,STEM,Statistical Sciences; Data Analytics; Statistics & Operational Research; Department of Statistics; School of Statistics; Statistics Department; Data Science Institute; Data Sciences,Statistics and Operational Research,BS; MS; PhD,Data-scientist and ML-engineer roles among WEF's fastest-growing jobs; ~113% growth projected for big-data specialists by 2030.,80
