rank_in_region,region,university_name,country,city,official_website,qs_rank_2025,the_rank_2025,arwu_rank_2024
4,Europe,ETH Zurich,Switzerland,Zurich,https://ethz.ch,7,11,21
6,Europe,EPFL,Switzerland,Lausanne,https://www.epfl.ch,26,32,76
9,Europe,Technical University of Munich,Germany,Munich,https://www.tum.de,28,26,47
10,Europe,PSL University,France,Paris,https://psl.eu,24,36,38
11,Europe,LMU Munich,Germany,Munich,https://www.lmu.de,59,38,43
13,Europe,Heidelberg University,Germany,Heidelberg,https://www.uni-heidelberg.de,84,47,50
15,Europe,Sorbonne University,France,Paris,https://www.sorbonne-universite.fr,41,87,41
16,Europe,KU Leuven,Belgium,Leuven,https://www.kuleuven.be,60,46,86
17,Europe,University of Amsterdam,Netherlands,Amsterdam,https://www.uva.nl,53,60,101
18,Europe,Delft University of Technology,Netherlands,Delft,https://www.tudelft.nl,47,53,151
19,Europe,Karolinska Institute,Sweden,Stockholm,https://ki.se,138,36,47
20,Europe,Paris-Saclay University,France,Saclay,https://www.universite-paris-saclay.fr,73,117,12
21,Europe,University of Copenhagen,Denmark,Copenhagen,https://www.ku.dk,100,109,39
23,Europe,Utrecht University,Netherlands,Utrecht,https://www.uu.nl,107,80,50
24,Europe,University of Helsinki,Finland,Helsinki,https://www.helsinki.fi,115,109,99
30,Europe,Lund University,Sweden,Lund,https://www.lunduniversity.lu.se,75,116,101
31,Europe,University of Zurich,Switzerland,Zurich,https://www.uzh.ch,91,80,73
37,Europe,Uppsala University,Sweden,Uppsala,https://www.uu.se,105,116,65
38,Europe,Leiden University,Netherlands,Leiden,https://www.universiteitleiden.nl,122,77,101
39,Europe,University of Groningen,Netherlands,Groningen,https://www.rug.nl,139,80,101
40,Europe,Erasmus University Rotterdam,Netherlands,Rotterdam,https://www.eur.nl,179,84,101
41,Europe,Wageningen University,Netherlands,Wageningen,https://www.wur.nl,122,76,151
42,Europe,Ghent University,Belgium,Ghent,https://www.ugent.be,169,89,81
43,Europe,University of Geneva,Switzerland,Geneva,https://www.unige.ch,175,91,75
44,Europe,Free University of Berlin,Germany,Berlin,https://www.fu-berlin.de,98,91,151
45,Europe,Humboldt University of Berlin,Germany,Berlin,https://www.hu-berlin.de,120,87,101
46,Europe,Aarhus University,Denmark,Aarhus,https://www.au.dk,167,138,81
48,Europe,KTH Royal Institute of Technology,Sweden,Stockholm,https://www.kth.se,73,167,201
49,Europe,University of Bonn,Germany,Bonn,https://www.uni-bonn.de,226,91,61
50,Europe,Politecnico di Milano,Italy,Milan,https://www.polimi.it,116,251,401
51,Europe,RWTH Aachen University,Germany,Aachen,https://www.rwth-aachen.de,99,105,201
52,Europe,University of Tübingen,Germany,Tübingen,https://uni-tuebingen.de,213,95,151
53,Europe,Karlsruhe Institute of Technology,Germany,Karlsruhe,https://www.kit.edu,119,142,201
54,Europe,University of Freiburg,Germany,Freiburg,https://www.uni-freiburg.de,199,110,101
55,Europe,University of Göttingen,Germany,Göttingen,https://www.uni-goettingen.de,174,134,101
56,Europe,University of Hamburg,Germany,Hamburg,https://www.uni-hamburg.de,209,134,151
57,Europe,École Polytechnique,France,Palaiseau,https://www.polytechnique.edu,38,71,151
58,Europe,École Normale Supérieure de Lyon,France,Lyon,https://www.ens-lyon.fr,328,201,201
59,Europe,University Paris Cité,France,Paris,https://u-paris.fr,281,132,76
60,Europe,University of Strasbourg,France,Strasbourg,https://en.unistra.fr,425,251,101
61,Europe,Sapienza University of Rome,Italy,Rome,https://www.uniroma1.it,132,167,151
62,Europe,University of Bologna,Italy,Bologna,https://www.unibo.it,133,154,201
63,Europe,University of Padua,Italy,Padua,https://www.unipd.it,219,201,151
64,Europe,University of Milan,Italy,Milan,https://www.unimi.it,285,167,151
65,Europe,Scuola Normale Superiore di Pisa,Italy,Pisa,https://www.sns.it,165,201,201
66,Europe,University of Pisa,Italy,Pisa,https://www.unipi.it,349,251,201
67,Europe,Bocconi University,Italy,Milan,https://www.unibocconi.eu,128,201,701
68,Europe,University of Barcelona,Spain,Barcelona,https://www.ub.edu,173,161,151
69,Europe,Autonomous University of Barcelona,Spain,Barcelona,https://www.uab.cat,188,167,301
70,Europe,Autonomous University of Madrid,Spain,Madrid,https://www.uam.es,191,201,201
71,Europe,Complutense University of Madrid,Spain,Madrid,https://www.ucm.es,209,351,301
