rank,department_name,domain,common_aliases,qs_subject_rank_category,typical_degree_levels,global_demand_notes,estimated_coverage_pct
1,Computer Science,STEM,Computing; Informatics; CS; Computer Science & Engineering; EECS,Computer Science and Information Systems,BS; MS; PhD,"Largest tech-hiring field; AI, software, and data infrastructure boom drive sustained worldwide demand and top STEM salaries.",99
2,Business Administration,Business,Management; Business & Management Studies; BBA/MBA,Business and Management Studies,BBA; MBA; MS; PhD,"MBA is the most-demanded graduate credential globally; broad employer pull across consulting, tech, finance, and operations.",95
3,Economics,Social Sciences,Economics & Econometrics; Political Economy,Economics and Econometrics,BA/BS; MS; PhD,"Top feeder for finance, consulting, policy, and tech; persistently among highest-earning social science graduates.",97
4,Mechanical Engineering,STEM,Mechanical & Process Engineering; Mech E,"Engineering - Mechanical, Aeronautical and Manufacturing",BS; MS; PhD,"Backbone of manufacturing, automotive, energy, robotics, and aerospace hiring globally.",92
5,Electrical Engineering,STEM,Electrical & Electronic Engineering; EEE; EECS; Information Technology and Electrical Engineering,Engineering - Electrical and Electronic,BS; MS; PhD,"Semiconductor / chip super-cycle, power systems, and AI hardware fueling record demand.",94
6,Medicine,Life Sciences & Medicine,Clinical Medicine; MBBS; MD; Medical School,Medicine,MD; MBBS; MS; PhD,"Aging populations and global health-worker shortage make physicians the highest-paid and most-demanded clinical role.",78
7,Mathematics,STEM,Pure Mathematics; Applied Mathematics; Maths,Mathematics,BS; MS; PhD,"Foundational for AI, quant finance, cryptography, and data science; quant-finance roles among highest-paying entry roles.",98
8,Physics,STEM,Physics & Astronomy; Astrophysics,Physics and Astronomy,BS; MS; PhD,"Pipeline into semiconductors, quantum tech, photonics, and finance quant roles; strong research prestige worldwide.",97
9,Chemistry,STEM,Chemistry & Applied Biosciences,Chemistry,BS; MS; PhD,"Anchors pharma, materials, energy, and battery R&D hiring; consistently top-3 in global STEM research output.",96
10,Biology,Life Sciences & Medicine,Biological Sciences; Life Sciences; Molecular & Cellular Biology; Integrative Biology,Biological Sciences,BS; MS; PhD,"Biotech and pharma hiring (CRISPR, mRNA, drug discovery) plus pre-med pipeline make it one of the largest undergrad majors.",98
11,Civil Engineering,STEM,"Civil & Environmental Engineering; Civil & Structural Engineering; Civil, Environmental and Geomatic Engineering",Engineering - Civil and Structural,BS; MS; PhD,"Global infrastructure, climate-resilient construction, and transit megaprojects sustain steady demand for licensed civil engineers.",90
12,Chemical Engineering,STEM,Chemical Engineering & Biotechnology; ChemE; Chemical & Process Engineering,Engineering - Chemical,BS; MS; PhD,"Energy transition, batteries, semiconductors, and pharma manufacturing drive premium starting salaries.",87
13,Psychology,Social Sciences,Psychological Sciences; Behavioural Science,Psychology,BA/BS; MS; PhD,"Mental-health hiring surge; one of the largest undergrad majors worldwide and key feeder into HR, UX, and clinical roles.",92
14,Law,Social Sciences,LLB; JD; Legal Studies; Faculty of Law,Law and Legal Studies,LLB; JD; LLM; PhD,"Legal services among most stable high-skill professions; corporate, IP, and tech law in particularly high global demand.",83
15,Statistics & Data Science,STEM,Statistical Sciences; Data Analytics; Statistics & Operational Research,Statistics and Operational Research,BS; MS; PhD,"Data-scientist and ML-engineer roles among WEF's fastest-growing jobs; ~113% growth projected for big-data specialists by 2030.",80
16,Finance,Business,Banking & Finance; Quantitative Finance; Accounting & Finance,Accounting and Finance,BS; MS; MBA; PhD,"Wall Street, fintech, and quant hiring keep finance as the highest-paying business specialization globally.",85
17,Public Health,Life Sciences & Medicine,MPH; Population Health; Global Health; School of Public Health,Anatomy and Physiology,MPH; MS; PhD; DrPH,"Post-pandemic governments and NGOs scaled up epidemiology, health-policy, and biostatistics hiring; persistent global health-worker gap.",70
18,Materials Science & Engineering,STEM,Materials Engineering; Materials Science & Metallurgy; Department of Materials,Materials Sciences,BS; MS; PhD,"Critical to batteries, semiconductors, advanced manufacturing, and clean energy; central to U.S./EU/China industrial strategy.",78
19,Architecture,Arts,Built Environment; Architecture & Planning; Architectural Studies,Architecture and Built Environment,BArch; MArch; MS; PhD,"Urbanization and sustainable-design demand keep architecture among the most prestigious applied-arts professions.",72
20,Political Science,Social Sciences,Politics; Government; Politics & International Relations; International Studies,Politics,BA/BS; MA/MS; PhD,"Core feeder into public policy, diplomacy, consulting, and political risk; near-universal at comprehensive universities.",90
21,Sociology,Social Sciences,Social Sciences; Sociology & Social Policy,Sociology,BA/BS; MA/MS; PhD,"Strong pipeline into HR, market research, social policy, and DEI roles; near-universal in arts & sciences faculties.",88
22,Earth & Environmental Sciences,STEM,Earth Sciences; Geosciences; Environmental Science; Earth & Planetary Sciences; Environmental Systems Science,Earth and Marine Sciences,BS; MS; PhD,"Climate-tech, ESG, and energy-transition hiring growth; central to net-zero corporate and government strategy.",82
23,Communication & Media Studies,Social Sciences,Communication; Media Studies; Journalism; Communication Arts,Communication and Media Studies,BA/BS; MA/MS; PhD,"Digital marketing, content, PR, and platform-policy roles among the largest expanding white-collar segments globally.",80
24,Education,Social Sciences,Educational Studies; School of Education; Faculty of Education; Teaching,Education and Training,BA/BEd; MA/MEd; EdD; PhD,"Persistent global teacher shortage; ed-tech and instructional design fast-growing adjacent fields.",83
25,Accounting,Business,Accountancy; Accounting & Finance; CPA Programs,Accounting and Finance,BS; MS; MBA; PhD,"Audit, advisory, and corporate-finance hiring stays among the most stable and globally licensed business pathways.",78
26,History,Humanities,Historical Studies; Faculty of History; History & Philosophy of Science,History,BA; MA; PhD,"Foundational humanities discipline at every comprehensive university; feeder into law, policy, journalism, and academia.",95
27,Philosophy,Humanities,Philosophical Studies; Faculty of Philosophy; PPE,Philosophy,BA; MA; PhD,"Highest-scoring humanities major on standardized tests (LSAT/GMAT); ethics demand rising for AI and biotech governance.",90
28,English Language & Literature,Humanities,English; Comparative Literature; Literary Studies,English Language and Literature,BA; MA; PhD,"Largest humanities department at most universities; pipeline into publishing, content, communications, and law.",92
